No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
37270,WISEA J031211.43-072302.3,48.04763,-7.38399,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37271,WISEA J031211.43-074112.7,48.04766,-7.68686,G,,,,21.3g,0.0,0,0,27,2,0,4,0
37272,WISEA J031211.46-073025.6,48.04767,-7.50713,*,,,,24.0g,0.0,0,0,17,2,0,4,0
37273,WISEA J031211.44-074851.9,48.04768,-7.81444,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37274,SDSS J031211.44-075103.8,48.04769,-7.85108,*,,,,22.6g,0.0,0,0,5,1,0,4,0
37275,WISEA J031211.44-072638.2,48.04769,-7.44395,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37276,SDSS J031211.45-075842.9,48.04772,-7.9786,G,,,,22.0g,0.0,0,0,15,1,0,4,0
37277,WISEA J031211.49-072240.0,48.04773,-7.37775,G,,,,19.3r,0.0,1,0,35,4,0,4,0
37278,SDSS J031211.46-074817.0,48.04775,-7.80473,G,,,,22.5g,0.0,0,0,19,2,0,3,0
37279,WISEA J031211.41-082521.3,48.04775,-8.42247,G,,,,22.3g,0.0,0,0,27,2,0,3,0
37280,WISEA J031211.50-080856.3,48.04792,-8.14899,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37281,WISEA J031211.50-082413.1,48.04794,-8.40365,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37282,WISEA J031211.54-082352.7,48.04796,-8.3981,G,,,,23.3g,0.0,0,0,27,2,0,4,0
37283,WISEA J031211.51-072004.9,48.04796,-7.33472,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37284,WISEA J031211.52-080931.7,48.04797,-8.15887,G,,,,23.6g,0.0,0,0,27,2,0,4,0
37285,WISEA J031211.51-074943.1,48.04801,-7.82865,G,,,,21.6g,0.0,0,0,27,2,0,4,0
37286,WISEA J031211.53-072416.6,48.04806,-7.40464,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37287,WISEA J031211.53-074338.6,48.04806,-7.72741,G,,,,23.1g,0.0,0,0,27,2,0,4,0
37288,WISEA J031211.53-075107.4,48.04808,-7.85207,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37289,WISEA J031211.54-081538.8,48.04812,-8.26078,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37290,SDSS J031211.55-080359.1,48.04815,-8.06642,G,,,,21.3g,0.0,0,0,15,1,0,4,0
37291,SDSS J031211.55-074037.6,48.04816,-7.67712,*,,,,24.6g,0.0,0,0,5,1,0,3,0
37292,SDSS J031211.56-072354.1,48.04819,-7.39837,*,,,,24.1g,0.0,0,0,5,1,0,4,0
37293,WISEA J031211.57-071745.2,48.04822,-7.2959,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37294,SDSS J031211.57-071959.7,48.04825,-7.33327,*,,,,21.8g,0.0,0,0,5,1,0,4,0
37295,WISEA J031211.57-073116.8,48.04827,-7.52132,G,,,,22.5g,0.0,0,0,27,2,0,4,0
37296,SDSS J031211.58-074522.4,48.04829,-7.75623,*,,,,24.1g,0.0,0,0,5,1,0,4,0
37297,WISEA J031211.59-073439.0,48.04831,-7.57752,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37298,SDSS J031211.59-080114.0,48.04833,-8.02057,*,,,,25.1g,0.0,0,0,5,1,0,3,0
37299,SDSS J031211.59-074842.1,48.04833,-7.81171,G,,,,21.4g,0.0,0,0,15,1,0,4,0
37300,WISEA J031211.61-081716.3,48.04839,-8.28787,*,,,,14.4g,0.0,0,0,30,5,0,4,0
37301,SDSS J031211.64-071229.7,48.0485,-7.20827,G,,,,21.7g,0.0,0,0,15,1,0,4,0
37302,SDSS J031211.64-073227.2,48.04851,-7.5409,G,,,,22.7g,0.0,0,0,15,1,0,3,0
37303,WISEA J031211.64-072252.9,48.04852,-7.38139,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37304,WISEA J031211.64-080829.6,48.04853,-8.14156,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37305,NVSS J031211-080436,48.04854,-8.07681,RadioS,,,, 0.91,0.0,0,0,0,1,0,0,0
37306,WISEA J031211.65-071936.7,48.04856,-7.32687,G,,,,23.6g,0.0,0,0,27,2,0,3,0
37307,WISEA J031211.62-071122.7,48.04857,-7.18971,G,,,,23.3g,0.0,0,0,27,2,0,4,0
37308,WISEA J031211.65-071335.5,48.04858,-7.22655,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37309,GALEXMSC J031211.66-074341.4  ,48.04861,-7.72818,UvS,,,,     ,0.0,0,0,4,1,0,0,0
37310,WISEA J031211.67-075600.8,48.04863,-7.93358,G,,,,20.6g,0.0,0,0,27,2,0,4,0
37311,WISEA J031211.68-080220.5,48.04868,-8.03905,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37312,SDSS J031211.69-074343.3,48.04872,-7.7287,G,,,,22.2g,0.0,0,0,15,1,0,4,0
37313,WISEA J031211.69-074416.8,48.04872,-7.73801,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37314,WISEA J031211.69-071105.6,48.04875,-7.18491,*,,,,19.2g,0.0,0,0,23,3,0,4,0
37315,WISEA J031211.70-082945.1,48.04877,-8.49587,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37316,GALEXMSC J031211.72-075228.5  ,48.04885,-7.8746,UvS,,,,     ,0.0,0,0,4,1,0,0,0
37317,WISEA J031211.73-075205.1,48.04888,-7.86811,*,,,,21.4g,0.0,0,0,23,3,0,4,0
37318,WISEA J031211.73-075436.3,48.04889,-7.91017,G,,,,21.7g,0.0,0,0,27,2,0,4,0
37319,WISEA J031211.73-072000.7,48.0489,-7.33353,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37320,SDSS J031211.73-082918.4,48.04891,-8.48846,G,,,,20.2g,0.0,0,0,23,3,0,4,0
37321,WISEA J031211.74-074654.0,48.04894,-7.78167,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37322,WISEA J031211.74-075229.7,48.04895,-7.87493,G,,,,21.2g,0.0,0,0,27,2,0,4,0
37323,WISEA J031211.75-075634.1,48.04897,-7.94282,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37324,WISEA J031211.72-082738.1,48.04904,-8.46075,G,,,,22.5g,0.0,0,0,27,2,0,4,0
37325,WISEA J031211.77-082402.6,48.04907,-8.40073,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37326,WISEA J031211.78-074329.0,48.04907,-7.72459,G,,,,21.3g,0.0,0,0,27,2,0,4,0
37327,WISEA J031211.78-082449.5,48.04912,-8.41376,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37328,GALEXMSC J031211.79-080425.0  ,48.04913,-8.07362,UvS,,,,     ,0.0,0,0,4,1,0,0,0
37329,WISEA J031211.80-071207.7,48.04921,-7.20274,G,,,,23.5g,0.0,0,0,27,2,0,4,0
37330,WISEA J031211.80-071351.3,48.04921,-7.23094,IrS,,,,     ,0.0,0,0,12,1,0,0,0
37331,SDSS J031211.81-075226.3,48.04924,-7.87399,G,,,,22.4g,0.0,0,0,15,1,0,4,0
37332,WISEA J031211.82-081834.8,48.04925,-8.30968,G,,,,22.7g,0.0,0,0,27,2,0,4,0
37333,SDSS J031211.82-080854.0,48.04925,-8.14835,G,,,,23.1g,0.0,0,0,15,1,0,4,0
37334,SDSS J031211.84-081708.3,48.04934,-8.28564,*,,,,25.3g,0.0,0,0,5,1,0,4,0
37335,WISEA J031211.84-074641.2,48.04938,-7.77781,G,,,,21.5g,0.0,0,0,27,2,0,4,0
